index,question,answer
421,What award did LeBron James win in his debut NBA season?,LeBron James was voted Rookie of the Year in his debut NBA season.
422,How many times has LeBron James been named to the All-NBA First Team as of May 2023?,"As of May 2023, LeBron James has been named to the All-NBA First Team 13 times."
423,How many MVP awards has LeBron James won?,LeBron James has won four MVP awards.
424,How many Finals MVP Awards has LeBron James won?,LeBron James has won four Finals MVP Awards.
425,Has LeBron James ever won the Defensive Player of the Year Award?,LeBron James has never won the Defensive Player of the Year Award but finished second in the voting twice.
426,How many NBA championships has LeBron James won?,LeBron James has won four NBA championships.
427,What is LeBron James's main goal that he has never achieved?,One of LeBron James's main goals is to win the Defensive Player of the Year Award.
428,Who named LeBron James the Associated Press Male Athlete of the Decade for the 2010s?,LeBron James was named the Associated Press Male Athlete of the Decade for the 2010s.
429,What impact did LeBron James have on player empowerment in the NBA?,LeBron James's decision to change teams during free agency has had a significant impact on player empowerment throughout the NBA.
430,What has been LeBron James's influence according to Draymond Green?,"Draymond Green commented that LeBron James opened doors for athletes, especially in taking control of their destiny."
431,In which areas has LeBron James surpassed Michael Jordan according to some analysts?,Some analysts believe LeBron James could surpass Michael Jordan as the greatest basketball player of all time due to his sustained excellence and impact.
432,How do older generations typically compare LeBron James and Michael Jordan?,Older generations who watched Jordan play and tune in less today generally lean toward Jordan as the greatest basketball player of all time.
433,What does LeBron James hope to achieve in his personal life regarding his basketball career?,LeBron James hopes to play in the NBA into his forties potentially alongside or against his sons Bronny and Bryce.
434,What significant NBA finals record does LeBron James hold?,LeBron James is tied for third all-time with ten NBA Finals appearances.
435,What was LeBron James criticized for regarding his NBA Finals performances?,"LeBron James has been criticized for not having a better Finals record, despite often performing well."
436,When did LeBron James marry Savannah James?,"LeBron James married Savannah James on September 14, 2013."
437,Where did LeBron James' wedding take place?,"LeBron James' wedding took place in San Diego, California."
438,How many children do LeBron and Savannah James have?,LeBron and Savannah James have three children: two sons and a daughter.
439,What recognition did Bronny James achieve in 2023?,Bronny James was named a McDonald's All-American in 2023.
440,Where did LeBron James live during his stint with the Miami Heat?,"During his stint with the Heat, LeBron James resided in Coconut Grove."
441,How much did LeBron James pay for his mansion in Coconut Grove?,LeBron James bought a $9 million mansion in Coconut Grove.
442,"When did LeBron James buy a mansion in Brentwood, Los Angeles?",LeBron James bought a mansion in Brentwood in November 2015.
443,How much did LeBron James' Brentwood mansion cost in 2015?,LeBron James' Brentwood mansion bought in 2015 cost about $21 million.
444,When did LeBron James purchase another home in Brentwood?,LeBron James purchased another home in Brentwood in December 2017.
445,How much did LeBron James' second Brentwood home cost?,LeBron James' second Brentwood home cost $23 million.
446,"What is LeBron James' connection to Akron, Ohio?","LeBron James owns a 30,000 square foot mansion in Akron, Ohio, which he custom built."
447,How much did LeBron James spend on his custom-built mansion in Akron?,LeBron James spent $2.1 million on his custom-built mansion in Akron.
448,Who are LeBron James's best friends in the NBA?,"LeBron James's best friends in the NBA are Carmelo Anthony, Chris Paul, and Dwyane Wade."
449,What nickname is given to LeBron James's group of friends?,LeBron James's group of friends are referred to as the 'banana boat crew'.
450,What incident involving Carmelo Anthony and LeBron James occurred during a trip to the Bahamas?,LeBron James rescued Carmelo Anthony from being carried away by the current during a trip to the Bahamas.
451,How did Carmelo Anthony describe the incident with LeBron James in the Bahamas?,Carmelo Anthony said 'He saved my life' when recounting the incident where LeBron rescued him from the water.
452,Which company was involved in a bidding war for LeBron James coming out of high school?,"Nike, Reebok, and Adidas were involved in a three-way bidding war for LeBron James coming out of high school."
453,How much was LeBron James' initial contract with Nike worth?,LeBron James' initial contract with Nike was worth approximately $90 million.
454,What stake did LeBron James receive as part of a deal with Fenway Sports Group?,LeBron James was granted a minority stake in the English Premier League football club Liverpool as part of a deal with Fenway Sports Group.
455,In what year did LeBron James surpass Kobe Bryant as the highest paid basketball player?,LeBron James surpassed Kobe Bryant as the highest paid basketball player in the world in 2013.
456,How much profit did LeBron James realize from Apple's acquisition of Beats Electronics?,LeBron James realized a profit of more than $30 million as part of Apple's acquisition of Beats Electronics.
457,What business did LeBron James co-found in 2011?,"LeBron James co-founded the designer retail store UNKNWN in Miami, Florida in 2011."
458,In which Super Bowl did LeBron James appear in a Crypto.com advertisement?,LeBron James appeared in a Crypto.com advertisement during Super Bowl 56 in 2022.
459,What was unique about LeBron James' appearance in the Crypto.com Super Bowl ad?,LeBron James conversed with a CGI version of his younger self in the Crypto.com Super Bowl ad.
460,What campaign did Crypto.com launch following their Super Bowl ad featuring LeBron James?,"Crypto.com launched an NFT airdrop campaign distributing 5,550 tokens featuring the NBA champion."
461,What is the focus of the partnership between LeBron James Family Foundation and Crypto.com?,The partnership focuses on educating underserved Akron communities with blockchain-related knowledge and Web3 tools.
462,Which watch company has LeBron James done business with?,LeBron James has an endorsement deal with Audemars Piguet.
463,What food-related business is LeBron James associated with?,LeBron James is associated with Blaze Pizza.
464,What automotive company has LeBron James endorsed?,LeBron James has endorsed Kia.
465,What beverage company was LeBron James associated with before 2021?,LeBron James was associated with Coca-Cola before 2021.
466,With which technology company does LeBron James have an endorsement deal?,LeBron James has done business with Intel.
467,What is one of LeBron James' business goals for the future?,LeBron James has stated that he would like to own an NBA team in the future.
468,What year was LeBron James born?,LeBron James was born in 1984.
469,Which NBA team did LeBron James first play for?,He first played for the Cleveland Cavaliers.
470,How many NBA Championships has LeBron James won?,LeBron James has won four NBA championships.
471,What is LeBron James' nickname?,"He is nicknamed King James."""""
472,How many times has LeBron been named MVP of the NBA Finals?,LeBron has been named Finals MVP four times.
473,Did LeBron James win any Olympic gold medals?,"Yes, he won two Olympic gold medals."
474,In what year did LeBron James leave Cleveland to join the Miami Heat?,LeBron James left Cleveland to join Miami in 2010.
475,Has LeBron James ever been a runner-up for the NBA Defensive Player of the Year Award?,"Yes, he was a runner-up twice."
476,What high school did LeBron James attend?,"LeBron James attended St. Vincent–St. Mary High School in Akron, Ohio."
477,What was LeBron James' major career move in 2010?,"In 2010, LeBron James made a major career move by joining the Miami Heat."
478,How many All-NBA Team selections has LeBron James received?,LeBron James has been selected to the All-NBA Team 19 times.
479,Which team did LeBron James win the inaugural NBA Cup with?,LeBron James won the inaugural NBA Cup with the Los Angeles Lakers in 2023.
480,How many consecutive NBA Finals appearances did LeBron James make from 2011 to 2018?,LeBron James made eight consecutive NBA Finals appearances from 2011 to 2018.
481,How many All-Star Game MVP Awards has LeBron James won?,LeBron James has won three All-Star Game MVP Awards.
482,How many times has LeBron James been named an All-Star?,LeBron James has been named an All-Star a record 20 times.
483,In which year was LeBron James named the inaugural NBA Cup MVP?,LeBron James was named the inaugural NBA Cup MVP in 2023.
484,Is LeBron James the all-time leading scorer in NBA history?,"Yes, LeBron James is the all-time leading scorer in NBA history."
485,How many Olympic gold medals has LeBron James won?,LeBron James has won two Olympic gold medals.
486,What year did LeBron James win his first NBA Championship?,LeBron James won his first NBA Championship in 2012 with the Miami Heat.
487,Was LeBron James ever named NBA Rookie of the Year?,"Yes, LeBron James was named the 2004 NBA Rookie of the Year."
488,How many times has LeBron James been selected to the All-Defensive Team?,LeBron James has been selected to the All-Defensive Team six times.
489,Which team did LeBron James lead to their first NBA Finals appearance?,LeBron James led the Cleveland Cavaliers to their first NBA Finals appearance in 2007.
490,How many NBA Most Valuable Player (MVP) Awards has LeBron James won?,LeBron James has won four NBA Most Valuable Player (MVP) Awards.
491,Did LeBron James win the NBA championship in his first year with the Miami Heat?,"No, LeBron James did not win the NBA championship in his first year with the Miami Heat."
492,What nickname is LeBron James known by?,LeBron James is known by the nickname 'King James'.
493,Has LeBron James ever played for the U.S. men's national basketball team?,"Yes, LeBron James has played for the U.S. men's national basketball team and won two Olympic gold medals."
494,In which draft was LeBron James selected by the Cleveland Cavaliers?,LeBron James was selected by the Cleveland Cavaliers with the first overall pick of the 2003 NBA draft.
495,Is LeBron James the oldest player currently in the NBA?,"Yes, as of now, LeBron James is the oldest player in the NBA."
496,How many NBA championships did LeBron James win with the Miami Heat?,LeBron James won two NBA championships with the Miami Heat.
497,Was LeBron James's decision to join Miami announced during a special TV program?,"Yes, LeBron James's decision to join the Miami Heat was announced during a nationally televised special titled 'The Decision'."
498,What position does LeBron James primarily play?,LeBron James primarily plays as a forward.
499,Which high school did LeBron James attend?,"LeBron James attended St. Vincent–St. Mary High School in Akron, Ohio."
500,In which year did LeBron James win his first NBA MVP Award?,LeBron James won his first NBA MVP Award in 2009.
501,How many Finals MVP Awards has LeBron James won?,LeBron James has won four Finals MVP Awards.
502,Is LeBron James the all-time leader in NBA career assists?,"No, LeBron James ranks fourth in career assists."
503,Did LeBron James ever win an NBA Defensive Player of the Year Award?,"No, LeBron James was a runner-up for the NBA Defensive Player of the Year Award twice."
504,How many times has LeBron James been named to the All-NBA First Team?,LeBron James has been named to the All-NBA First Team 13 times.
505,Has LeBron James ever won an NBA Cup MVP?,"Yes, LeBron James was named the inaugural NBA Cup MVP in 2023."
506,How many Olympic gold medals has LeBron James won?,LeBron James has won two Olympic gold medals.
507,What controversial move did LeBron James make in 2010?,"In 2010, LeBron James made a controversial move by announcing his decision to join the Miami Heat in a TV special titled 'The Decision'."
508,How many consecutive NBA Finals appearances did LeBron James make with the Miami Heat?,LeBron James made four consecutive NBA Finals appearances with the Miami Heat from 2011 to 2014.
509,In what year did LeBron James surpass Kareem Abdul-Jabbar as the leading scorer in NBA history?,LeBron James surpassed Kareem Abdul-Jabbar to become the leading scorer in NBA history in 2023.
510,How many NBA championships has LeBron James won with the Miami Heat?,LeBron James won two NBA championships with the Miami Heat.
511,What significant achievement did LeBron James reach in terms of earnings as an NBA player?,LeBron James is the first player in NBA history to accumulate $1 billion in earnings as an active player.
512,In which year did LeBron James lead the Cavaliers to their first championship by overcoming a 3–1 deficit in the Finals?,LeBron James led the Cavaliers to their first championship in 2016 by overcoming a 3–1 deficit in the Finals.
513,Which team did LeBron James join in 2018?,LeBron James signed with the Los Angeles Lakers in 2018.
514,How many NBA championships has LeBron James won with the Los Angeles Lakers?,LeBron James won one NBA championship with the Los Angeles Lakers in 2020.
515,Has LeBron James ever hosted Saturday Night Live?,"Yes, LeBron James hosted Saturday Night Live."
516,When did LeBron James become a part-owner of Liverpool F.C.?,LeBron James has been a part-owner of Liverpool F.C. since 2011.
517,How many Sports Emmy Awards has LeBron James won as an executive producer?,LeBron James has won three Sports Emmy Awards as an executive producer.
518,How many times has LeBron James been listed among Time's 100 most influential people in the world?,LeBron James has been listed among Time's 100 most influential people in the world four times.
519,In what film did LeBron James star in 2021?,LeBron James starred in the sports film 'Space Jam: A New Legacy' in 2021.
520,Which city's sports curse did LeBron James end by winning the NBA championship in 2016?,LeBron James ended the Cleveland sports curse by winning the NBA championship in 2016.
521,Has LeBron James won any ESPY Awards?,LeBron James has won 20 ESPY Awards.
522,What charitable foundation does LeBron James lead?,LeBron James leads the LeBron James Family Foundation.
523,What facilities has LeBron James's foundation opened in Akron?,"LeBron James's foundation has opened an elementary school, housing complex, retail plaza, and medical center in Akron."
524,Which NBA Finals did LeBron James win by overcoming a 3-1 series deficit?,LeBron James won the 2016 NBA Finals with the Cavaliers by overcoming a 3-1 series deficit.
525,In which year did LeBron James surpass $1 billion in earnings as an active NBA player?,LeBron James surpassed $1 billion in earnings as an active NBA player before 2021.
526,How many NBA championships has LeBron James won as of 2023?,LeBron James has won four NBA championships as of 2023.
527,What year did LeBron James lead the Cavaliers to their first NBA championship?,LeBron James led the Cavaliers to their first NBA championship in 2016.
528,Did LeBron James win the NBA Finals MVP in the same years he won championships with the Miami Heat?,"LeBron James won the NBA Finals MVP in 2012 and 2013, the same years he won championships with the Miami Heat."
529,Has LeBron James ever appeared in a documentary?,"Yes, LeBron James has been featured in documentaries and has won Sports Emmy Awards as an executive producer."
530,How many times has LeBron James been named the NBA Finals MVP?,LeBron James has been named the NBA Finals MVP four times.
531,In which year did LeBron James join the Los Angeles Lakers?,LeBron James joined the Los Angeles Lakers in 2018.
532,Did LeBron James star in the film 'Space Jam: A New Legacy'?,"Yes, LeBron James starred in 'Space Jam: A New Legacy' released in 2021."
533,Is LeBron James a part-owner of any sports team?,"Yes, LeBron James has been a part-owner of Liverpool F.C. since 2011."
534,How many times has LeBron James been named among Time's 100 most influential people?,LeBron James has been named among Time's 100 most influential people four times.
535,Did LeBron James win an NBA championship with the Lakers in 2020?,"Yes, LeBron James won an NBA championship with the Lakers in 2020."
536,Has LeBron James ever won the NBA Cup MVP award?,"Yes, LeBron James was named the inaugural NBA Cup MVP."
537,What philanthropic initiative has LeBron James founded in Akron?,"LeBron James founded the LeBron James Family Foundation, which has opened various community facilities in Akron."
538,How many NBA championships had LeBron James won by the end of his fourth season with the Miami Heat?,"By the end of his fourth season with the Miami Heat, LeBron James had won two NBA championships."
539,What major achievement did LeBron James accomplish by 2023 in terms of scoring?,"By 2023, LeBron James became the all-time leading scorer in NBA history."
540,Has LeBron James won any championships with the Cleveland Cavaliers?,"Yes, LeBron James won a championship with the Cleveland Cavaliers in 2016."
541,How many times has LeBron James been named NBA MVP?,LeBron James has been named NBA MVP four times.
542,Has LeBron James achieved a career milestone of $1 billion in earnings as an active NBA player?,"Yes, LeBron James is the first NBA player to accumulate $1 billion in earnings as an active player."
543,How many NBA Finals MVP Awards has LeBron James won as of 2023?,LeBron James has won four NBA Finals MVP Awards as of 2023.
544,What year did LeBron James surpass Kareem Abdul-Jabbar as the all-time leading scorer in NBA history?,LeBron James surpassed Kareem Abdul-Jabbar as the all-time leading scorer in NBA history in 2023.
545,Is LeBron James involved in any philanthropic activities?,"Yes, LeBron James leads the LeBron James Family Foundation and has opened several community facilities in Akron."
546,Has LeBron James won 20 ESPY Awards as of 2023?,"Yes, LeBron James has won 20 ESPY Awards as of 2023."
547,Did LeBron James help the Cleveland Cavaliers win their first NBA championship by overcoming a 3–1 deficit in the Finals?,"Yes, LeBron James led the Cavaliers to their first championship in 2016 by overcoming a 3–1 deficit in the Finals."
548,What significant event did LeBron James participate in related to his transfer in 2010?,LeBron James announced his decision to join the Miami Heat in a televised special called 'The Decision' in 2010.
549,When was LeBron James born?,"LeBron James was born on December 30, 1984."
550,Where was LeBron James born?,"LeBron James was born in Akron, Ohio."
551,"How old was LeBron James' mother, Gloria, when he was born?",Gloria Marie James was 16 years old at the time of LeBron's birth.
552,Was LeBron James' father involved in his life growing up?,"LeBron James' father, Anthony McClelland, was not involved in his life."
553,Who introduced LeBron James to basketball?,"LeBron James was introduced to basketball by Frank Walker, a local youth football coach."
554,What age did LeBron James start playing organized basketball?,LeBron James began playing organized basketball in the fifth grade.
555,For which AAU team did LeBron James play?,LeBron James played for the Northeast Ohio Shooting Stars in AAU basketball.
556,What nickname did LeBron James and his friends give themselves?,LeBron James and his friends called themselves the 'Fab Four'.
557,Did LeBron James attend a public or private high school?,"LeBron James attended St. Vincent–St. Mary High School, a private Catholic school."
558,Was there controversy surrounding LeBron James' choice of high school?,Choosing St. Vincent–St. Mary High School stirred local controversy due to it being a private school with predominantly white students.
559,What struggles did LeBron James and his family face during his childhood?,LeBron James and his family often moved from apartment to apartment in the seedier neighborhoods of Akron while his mother struggled to find steady work.
560,What significant decision did Gloria James make for LeBron's welfare?,Gloria allowed LeBron to move in with the family of Frank Walker to provide him with a more stable family environment.
561,At what age did LeBron James first start playing basketball?,LeBron James was introduced to basketball when he was nine years old.
562,Which high school did LeBron James and his friends decide to attend together?,LeBron James and his friends decided to attend St. Vincent–St. Mary High School together.
563,What was the racial composition of St. Vincent–St. Mary High School that stirred controversy?,"St. Vincent–St. Mary High School had predominantly white students, which stirred local controversy when LeBron and his friends chose to attend."
564,What was LeBron James' family situation regarding his father?,"LeBron James' father, Anthony McClelland, has an extensive criminal record and was not involved in his life."
565,How did LeBron James' mother ensure he had a stable upbringing?,"Recognizing the need for a stable environment, Gloria allowed LeBron to live with the family of a local youth football coach."
566,What success did LeBron James achieve with the Northeast Ohio Shooting Stars?,LeBron James and the Northeast Ohio Shooting Stars enjoyed success on both a local and national level in AAU basketball.
567,Who were the members of the 'Fab Four' alongside LeBron James?,"The 'Fab Four' included LeBron James, Sian Cotton, Dru Joyce III, and Willie McGee."
568,What was a major influence in LeBron James' life at the age of nine?,"At the age of nine, LeBron was introduced to basketball, which became a major influence in his life."
569,Did LeBron James have a stable childhood home environment?,"LeBron James frequently moved between apartments in poor neighborhoods of Akron during his childhood, indicating an unstable home environment."
570,Why did Gloria James allow LeBron to move in with Frank Walker's family?,Gloria allowed LeBron to move in with Frank Walker's family to provide him with a more stable family environment and better opportunities.
571,What impact did Frank Walker have on LeBron James at a young age?,"Frank Walker introduced LeBron James to basketball when he was nine years old, significantly impacting his future in the sport."
572,How did LeBron James' high school choice impact the local community's perception?,The decision for LeBron and his friends to attend St. Vincent–St. Mary High School stirred local controversy due to its predominantly white student body.
573,What was the living situation of LeBron James' family before he moved in with the Walker family?,"LeBron's family struggled with frequent moves and financial instability, living in seedier neighborhoods of Akron."
574,What was the outcome of LeBron playing for the Northeast Ohio Shooting Stars?,LeBron James achieved local and national success with the Northeast Ohio Shooting Stars in AAU basketball.
575,How did LeBron's life change after meeting Frank Walker?,"After meeting Frank Walker, LeBron was introduced to basketball and moved into a more stable living situation, which changed his life significantly."
576,What promise did LeBron James and his friends from the 'Fab Four' make to each other?,LeBron James and his friends from the 'Fab Four' promised each other that they would attend high school together.
577,What role did Gloria James play in LeBron's early exposure to basketball?,"Gloria James supported LeBron's move to live with Frank Walker, where he was introduced to basketball."
578,How significant was the influence of the 'Fab Four' on LeBron James' high school basketball career?,"The 'Fab Four' had a significant influence on LeBron James' high school basketball career, promising to attend the same school and achieving great success."
579,Did LeBron James' early life struggles influence his basketball career?,LeBron James' early life struggles and moving between apartments in Akron played a significant role in shaping his basketball career as he sought stability through sports.
580,Why was LeBron James' decision to attend St. Vincent–St. Mary High School controversial?,"The decision was controversial because he chose a private Catholic school with predominantly white students, stirring local debate."
581,Who were LeBron James' teammates in the 'Fab Four'?,"LeBron James' teammates in the 'Fab Four' were Sian Cotton, Dru Joyce III, and Willie McGee."
582,What role did the Walker family play in LeBron James' life?,"The Walker family provided LeBron with a stable home environment and introduced him to basketball, which was pivotal in his early life."
583,How did LeBron James' experience with the Northeast Ohio Shooting Stars affect his basketball career?,"Playing with the Northeast Ohio Shooting Stars provided LeBron with significant early exposure and success in basketball, boosting his confidence and skills."
584,What was the impact of LeBron James attending St. Vincent–St. Mary High School on his basketball career?,Attending St. Vincent–St. Mary High School allowed LeBron James to play at a higher competitive level and gain national attention.
585,How did LeBron James' background influence his approach to basketball?,"LeBron's challenging early life instilled a strong work ethic and determination in him, which he translated into his approach to basketball."
586,"What was significant about LeBron James' high school basketball team, the 'Fab Four'?","The 'Fab Four' were significant because they were a group of friends who committed to attending the same high school to play basketball together, leading to great success."
587,How did the community react to LeBron James' high school basketball success?,"The community was largely supportive, and LeBron's high school games began attracting large crowds and media attention."
588,What lessons did LeBron James learn from his early experiences with basketball and his family life?,"LeBron learned the importance of stability and teamwork from his early experiences, which he carried into his professional basketball career."
589,What was LeBron James' average points per game as a freshman?,LeBron James averaged 21 points per game as a freshman.
590,How tall was LeBron James when he was a freshman?,LeBron James was 6 feet 2 inches tall as a freshman.
591,What was the St. Vincent–St. Mary basketball team's record during LeBron's freshman year?,The Fighting Irish went 27–0 during LeBron's freshman year.
592,What title did St. Vincent–St. Mary win when LeBron was a freshman?,They won the Division III state title.
593,What were LeBron's average points per game as a sophomore?,LeBron averaged 25.2 points per game as a sophomore.
594,Where did St. Vincent–St. Mary play some home games during LeBron's sophomore year?,They played at the University of Akron's Rhodes Arena to satisfy ticket demand.
595,What was LeBron's average rebounds per game as a sophomore?,LeBron averaged 7.2 rebounds per game as a sophomore.
596,How many state championships did LeBron win during his sophomore year?,LeBron won his second consecutive state championship during his sophomore year.
597,What prestigious basketball honor did LeBron James receive as a sophomore?,LeBron was named Ohio Mr. Basketball and selected to the USA Today All-USA First Team.
598,What significant basketball publication featured LeBron during the summer before his junior year?,LeBron was the subject of a feature article in Slam magazine.
599,What was LeBron James' height by the time he was featured in Slam magazine?,"By the summer before his junior year, LeBron James had grown to 6 feet 7 inches tall."
600,What accolade did LeBron James receive as the first high school basketball underclassman?,LeBron James became the first high school basketball underclassman to appear on the cover of Sports Illustrated.
601,What were LeBron James' average stats during his junior year?,"LeBron averaged 29 points, 8.3 rebounds, 5.7 assists, and 3.3 steals per game during his junior year."
602,What significant player award did LeBron win for the first time as a junior?,LeBron James was named male basketball Gatorade National Player of the Year for the first time as a junior.
603,How did St. Vincent–St. Mary's basketball season end during LeBron's junior year?,Their season ended with a loss in the Division II championship game.
604,Why did LeBron James petition the NBA during his junior year?,LeBron petitioned for a change to the NBA's draft eligibility rules in an attempt to enter the 2002 NBA draft.
605,What personal challenge did LeBron James admit to facing due to media attention during his junior year?,LeBron used marijuana to help cope with the stress from the constant media attention.
606,How did LeBron James's senior year start in terms of games and coverage?,LeBron's senior year featured games that were televised on ESPN2 and offered on pay-per-view by Time Warner Cable.
607,What were LeBron James' average statistics during his senior year?,"He averaged 31.6 points, 9.6 rebounds, 4.6 assists, and 3.4 steals per game during his senior year."
608,How many times did LeBron James win Ohio Mr. Basketball by his senior year?,LeBron James was named Ohio Mr. Basketball three consecutive times by his senior year.
609,"What team did LeBron James play against on December 12, 2002, that was nationally televised?","LeBron James played against Oak Hill Academy on December 12, 2002, in a game that was nationally televised on ESPN2."
610,How did LeBron James' team perform throughout his senior season?,"During his senior year, LeBron James and the Fighting Irish traveled across the country, playing nationally ranked teams and finishing the season with a strong record."
611,What awards did LeBron James win during his senior year?,"LeBron James was named Ohio Mr. Basketball, selected to the USA Today All-USA First Team, and was named Gatorade National Player of the Year for the second consecutive year."
612,Which high school all-star games did LeBron James participate in at the end of his senior year?,"LeBron participated in the EA Sports Roundball Classic, the Jordan Brand Capital Classic, and the McDonald's All-American Game."
613,What significant action did LeBron James take for his 18th birthday that led to an investigation?,"For his 18th birthday, LeBron James accepted a Hummer H2 as a gift from his mother, prompting an investigation by the Ohio High School Athletic Association."
614,Why was LeBron James temporarily ruled ineligible during his senior year?,LeBron was temporarily ruled ineligible for accepting two throwback jerseys valued at $845 from an urban clothing store.
615,What was the outcome of LeBron James' ineligibility case during his senior year?,"After being ruled ineligible and missing two games, LeBron James appealed, and his penalty was reduced to a two-game suspension, allowing him to finish the season."
616,What achievement did LeBron James reach in his first game back after his suspension?,"In his first game back after his suspension, LeBron James scored a career-high 52 points."
617,What title did St. Vincent–St. Mary win during LeBron James' senior year?,St. Vincent–St. Mary went on to win the Division II championship during LeBron James' senior year.
618,How many division titles did LeBron James win with St. Vincent–St. Mary in his high school career?,LeBron James won three division titles in four years with St. Vincent–St. Mary.
619,What violation did LeBron James commit that led to a temporary loss of his high school sports eligibility?,LeBron James violated Ohio High School Athletic Association rules by accepting two throwback jerseys valued at $845 in exchange for posing for pictures.
620,How many games was LeBron James initially suspended for after his eligibility violation?,LeBron James was initially suspended for two games after his eligibility violation.
621,What was the outcome for St. Vincent–St. Mary's basketball team after LeBron's eligibility issue was resolved?,St. Vincent–St. Mary was forced to forfeit one of their wins but LeBron was able to play the remainder of the season.
622,How did LeBron James's senior year performances impact his career choices?,LeBron's outstanding performances during his senior year solidified his decision to enter the 2003 NBA draft.
623,What were the consequences of LeBron James accepting a Hummer H2 as a gift?,"The acceptance of a Hummer H2 led to an investigation by the Ohio High School Athletic Association, although LeBron was eventually cleared of any wrongdoing."
624,During which high school year did LeBron James score a career-high 52 points in a game?,LeBron James scored a career-high 52 points during a game in his senior year.
625,What media coverage did LeBron James receive during his high school years?,LeBron James's games were covered on national television and offered on pay-per-view during his senior year.
626,What was LeBron James's average assists per game during his senior year?,LeBron James averaged 4.6 assists per game during his senior year.
627,In which year did LeBron James lose his NCAA eligibility?,LeBron James lost his NCAA eligibility in his senior year after participating in high school all-star games.
628,What was LeBron James's average steals per game during his senior year?,LeBron James averaged 3.4 steals per game during his senior year.
629,Did LeBron James' high school team play any games on a national television network during his senior year?,"Yes, LeBron James' high school games were televised nationally, including on ESPN2, during his senior year."
630,What was the reason behind LeBron James' appeal against the initial ruling of ineligibility?,"LeBron James appealed the ruling of ineligibility after accepting $845 worth of throwback jerseys, arguing it was an unjust penalty."
631,How did LeBron James' involvement in high-profile games affect the broadcast decisions for his high school basketball games?,"Due to high demand from alumni, fans, and scouts, some of LeBron's high school games were moved to larger venues and offered via pay-per-view."
632,What was LeBron James' rebounding average during his junior year of high school?,LeBron James averaged 8.3 rebounds per game during his junior year.
633,Which prestigious high school all-star games did LeBron James participate in during his senior year?,"LeBron James played in the EA Sports Roundball Classic, Jordan Brand Capital Classic, and the McDonald's All-American Game."
634,What significant personal event occurred during LeBron James' senior year related to his eligibility issues?,"LeBron James received a two-game suspension after accepting jerseys from an urban clothing store, which initially made him ineligible to play."
635,What vehicle did LeBron James receive as a gift that led to an investigation?,"LeBron James received a Hummer H2 as a gift from his mother, which led to an investigation by the Ohio High School Athletic Association."
636,What was the final outcome of St. Vincent–St. Mary's basketball season during LeBron James' senior year?,St. Vincent–St. Mary won the Division II state championship during LeBron James' senior year.
637,How did LeBron James' performance in the McDonald's All-American Game affect his NBA draft prospects?,LeBron James' strong performance in the McDonald's All-American Game solidified his status as a top prospect for the NBA draft.
638,What year did LeBron James first appear on the cover of Sports Illustrated?,LeBron James first appeared on the cover of Sports Illustrated during his junior year of high school.
639,During which game did LeBron James score a career-high 52 points in high school?,LeBron James scored a career-high 52 points in his first game back after serving a suspension during his senior year.
640,What led to LeBron James' suspension during his senior year?,"LeBron James was suspended due to accepting two throwback jerseys from an urban clothing store, which was a violation of amateur sports rules."
641,What was a major controversy involving LeBron James and a vehicle during his senior year?,"A major controversy arose when LeBron James received a Hummer H2 from his mother as a gift, leading to an investigation."
642,How many times was LeBron James named to the USA Today All-USA First Team by the end of his high school career?,LeBron James was selected to the USA Today All-USA First Team three times by the end of his high school career.
643,Which high school did LeBron James attend?,LeBron James attended St. Vincent–St. Mary High School.
644,How did LeBron James handle the media attention during his high school years?,LeBron James used marijuana to cope with the stress from the constant media attention during his high school years.
645,What action did LeBron James take in response to the media scrutiny during his high school years?,"LeBron James petitioned the NBA for a draft eligibility rule change, although it was unsuccessful."
646,What significant life decision did LeBron James make at the end of his high school career?,"LeBron James decided to enter the 2003 NBA draft, foregoing college basketball."
647,In which event did LeBron James lose his NCAA eligibility?,LeBron James lost his NCAA eligibility by participating in high school all-star games that were considered professional engagements.
648,What were LeBron James' averages in points and rebounds during his final high school year?,LeBron James averaged 31.6 points and 9.6 rebounds per game during his senior year.
649,What sport did LeBron James play as an underclassman besides basketball?,LeBron James played as a wide receiver for St. Vincent–St. Mary's football team.
650,Which university was one of the Division I programs that recruited LeBron James for football?,Notre Dame was one of the Division I programs that recruited LeBron James.
651,What honor did LeBron James receive in football at the end of his second year?,LeBron James was named first team all-state in football at the conclusion of his second year.
652,Why did LeBron James not play football during his senior year?,LeBron James did not play football during his senior year due to a wrist injury sustained in an AAU basketball game.
653,What stage did LeBron James help lead his high school football team to as a junior?,"As a junior, LeBron James helped lead the Fighting Irish football team to the state semifinals."
654,Has there been speculation about LeBron James' potential in playing professional football?,Some sports analysts and former players have speculated that LeBron James could have played in the National Football League.
655,Which position did LeBron James play on his high school football team?,LeBron James played as a wide receiver on his high school football team.
656,What injury prevented LeBron James from playing football in his senior year?,LeBron James suffered a wrist injury that prevented him from playing football during his senior year.
657,Which Division I program recruited LeBron James for football?,Notre Dame recruited LeBron James for football.
658,What accolade did LeBron James achieve in football during his high school career?,LeBron James was named first team all-state in football.
659,What prevented LeBron James from playing football in his senior year?,A wrist injury sustained in an AAU basketball game prevented LeBron James from playing football in his senior year.
